ID,ano,numero_questao,enunciado,alternativas,resposta_correta,prova_cor
11,2011,137,"Questão 137 da prova azul de Matemática do Enem 2011A Escala de Magnitude de Momento (abreviada como MMS e denotada como $M_W$), introduzida em 1979 por Thomas Haks e Hiroo Kanamori, substituiu a Escala de Richter para medir a magnitude dos terremotos em termos de energia liberada. Menos conhecida pelo público, a MMS é, no entanto, a escala usada para estimar as magnitudes de todos os grandes terremotos da atualidade. Assim como a escala Richter, a MMS é uma escala logarítmica. $M_W$ e $M_0$ se relacionam pela fórmula:$M_W = -10,7 + \frac{2}{3} \log_{10}(M_0)$Onde $M_0$ é o momento sísmico (usualmente estimado a partir dos registros de movimento da superfície, através dos sismogramas), cuja unidade é o dina.cm. O terremoto de Kobe, acontecido no dia 17 de janeiro de 1995, foi um dos terremotos que causaram maior impacto no Japão e na comunidade científica internacional. Teve magnitude $M_W = 7,3$.U.S. GEOLOGICAL SURVEY, Historic Earthquakes. Disponível em: http://earthquake.usgs.gov. Acesso em: 1 maio 2010 (adaptado).U.S. GEOLOGICAL SURVEY. USGS Earthquake Magnitude Policy. Disponível em: http://earthquake.usgs.gov. Acesso em: 1 maio 2010 (adaptado).Mostrando que é possível determinar a medida por meio de conhecimentos matemáticos, qual foi o momento sísmico $M_0$ do terremoto de Kobe (em dina.cm)?","A) 10^(-5,10)B) 10^(-0,73)C) 10^(12,00)D) 10^(21,65)E) 10^(27,00)",E,verde
12,2011,140,"Em uma certa cidade, os moradores de um bairro carente de espaços de lazer reinvidicam à prefeitura municipal a construção de uma praça. A prefeitura concorda com a solicitação e afirma que irá construí-la em formato retangular devido às características técnicas do terreno. Restrições de natureza orçamentária impõem que sejam gastos, no máximo, 180 m de tela para cercar a praça. A prefeitura apresenta aos moradores desse bairro as medidas dos terrenos disponíveis para a construção da praça:Terreno 1: 55 m por 45 mTerreno 2: 55 m por 55 mTerreno 3: 60 m por 30 mTerreno 4: 70 m por 20 mTerreno 5: 95 m por 85 mPara optar pelo terreno de maior área, que atenda às restrições impostas pela prefeitura, os moradores deverão escolher o terreno",a) 01.b) 02.c) 3.d) 4.e) 5.,C,verde
13,2011,141,"Você pode adaptar as atividades do seu dia a dia de uma forma que possa queimar mais calorias do que as gastas normalmente, conforme a relação seguinte:- Enquanto você fala ao telefone, faça agachamentos: 100 calorias gastas em 20 minutos.- Meia hora de supermercado: 100 calorias.- Cuidar do jardim por 30 minutos: 200 calorias.- Passear com o cachorro: 200 calorias em 30 minutos.- Tirar o pó dos móveis: 150 calorias em 30 minutos.- Lavar roupas por 30 minutos: 200 calorias.Disponível em: http://cyberdiet.terra.com.br. Acesso em: 27 abr. 2010 (adaptado).Uma pessoa deseja executar essas atividades, porém, ajustando o tempo para que, em cada uma, gaste igualmente 200 calorias.A partir dos ajustes, quanto tempo a mais será necessário para realizar todas as atividades?",a) 50 minutos.b) 60 minutos.c) 80 minutos.d) 120 minutos.e) 170 minutos.,B,verde
14,2011,143,"Para uma atividade realizada no laboratório de Matemática, um aluno precisa construir uma maquete da quadra de esportes da escola que tem 28 m de comprimento por 12 m de largura. A maquete deverá ser construída na escala de 1 : 250. Que medidas de comprimento e largura, em cm, o aluno utilizará na construção da maquete?","a) 4,8 e 11,2b) 7,0 e 3,0c) 11,2 e 4,8d) 28,0 e 12,0e) 30,0 e 70,0",C,verde
15,2011,146,"Sabe-se que a distância real, em linha reta, de uma cidade A, localizada no estado de São Paulo, a uma cidade B, localizada no estado de Alagoas, é igual a 2 000 km. Um estudante, ao analisar um mapa, verificou com sua régua que a distância entre essas duas cidades, A e B, era 8 cm.Os dados nos indicam que o mapa observado pelo estudante está na escala de",a) 1:250.b) 1:2500.c) 1:25000.d) 1:250000.e) 1:25000000.,E,verde
16,2011,148,"Em 2010, um caos aéreo afetou o continente europeu, devido à quantidade de fumaça expelida por um vulcão na Islândia, o que levou ao cancelamento de inúmeros voos.  Cinco dias após o inicio desse caos, todo o espaço aéreo europeu acima de 6 000 metros estava liberado, com exceção do espaço aéreo da Finlândia. Lá, apenas voos internacionais acima de 31 mil pés estavam liberados.Disponível em: http://www1.folha.uol.com.br. Acesso em: 21 abr. 2010 (adaptado).Considere que 1 metro equivale a aproximadamente 3,3 pés.  Qual a diferença, em pés, entre as altitudes liberadas na Finlândia e no restante do continente europeu cinco dias após o início do caos?",a) 3390 pés.b) 9390 pés.c) 11200 pés.d) 19800 pés.e) 50800 pés.,C,verde
17,2011,153,"Observe as dicas para calcular a quantidade certa de alimentos e bebidas para as festas de fim de ano:• Para o prato principal, estime 250 gramas de carne para cada pessoa.• Um copo americano cheio de arroz rende o suficiente para quatro pessoas.• Para a farofa, calcule quatro colheres de sopa por convidado.• Uma garrafa de vinho serve seis pessoas.• Uma garrafa de cerveja serve duas.• Uma garrafa de espumante serve três convidados.Quem organiza festas faz esses cálculos em cima do total de convidados, independente do gosto de cada um.Quantidade certa de alimentos e bebidas evita o desperdício da ceia.Jornal Hoje. 17 dez. 2010 (adaptado).Um anfitrião decidiu seguir essas dicas ao se preparar para receber 30 convidados para a ceia de Natal. Para seguir essas orientações à risca, o anfitrião deverá dispor de","a) 120 kg de carne, 7 copos americanos e meio de arroz, 120 colheres de sopa de farofa, 5 garrafas de vinho, 15 de cerveja e 10 de espumante.b) 120 kg de carne, 7 copos americanos e meio de arroz, 120 colheres de sopa de farofa, 5 garrafas de vinho, 30 de cerveja e 10 de espumante.c) 75 kg de carne. 7 copos americanos e meio de arroz, 120 colheres de sopa de farofa. 5 garrafas de vinho,  15 de cerveja e 10 de espumante.d) 7,5 kg de carne, 7 copos americanos, 120 colheres de sopa de farofa, 5 garrafas de vinho, 30 de cerveja e 10 de espumante.e) 7,5 kg de carne, 7 copos americanos e meio de arroz, 120 colheres de sopa de farofa, 5 garrafas de vinho, 15 de cerveja e 10 de espumante.",E,verde
18,2011,159,"O prefeito de uma cidade deseja construir uma rodovia para dar acesso a outro município. Para isso, foi aberta uma licitação na qual concorreram duas empresas. A primeira cobrou $R\$ 100.000,00$ por km construído (n), acrescidos de um valor fixo de $R\$ 350.000,00$, enquanto a segunda cobrou $R\$ 120.000,00$ por km construído (n), acrescidos de um valor fixo de $R\$ 150.000,00$. As duas empresas apresentam o mesmo padrão de qualidade dos serviços prestados, mas apenas uma delas poderá ser contratada.Do ponto de vista econômico, qual equação possibilitaria encontrar a extensão da rodovia que tornaria indiferente para a prefeitura escolher qualquer uma das propostas apresentadas?",A) 100n + 350 = 120n + 150 B) 100n + 150 = 120n + 350 C) 100(n + 350) = 120(n + 150) D) 100(n + 350.000) = 120(n + 150.000) E) 350(n + 100.000) = 150(n + 120.000),A,verde
19,2011,160,"Uma pessoa aplicou certa quantia em ações. No primeiro mês, ela perdeu 30% do total do investimento e, no segundo mês, recuperou 20% do que havia perdido.Depois desses dois meses, resolveu tirar o montante de $R\$ 3.800, 00$ gerado pela aplicação.A quantia inicial que essa pessoa aplicou em ações corresponde ao valor de","A) R$ 4.222,22 B) R$ 4.523,80 C) R$ 5.000,00 D) R$ 13.300,00 E) R$ 17.100,00",C,verde
20,2011,161,"Cerca de 20 milhões de brasileiros vivem na região coberta pela caatinga, em quase 800 mil km² de área. Quando não chove, o homem do sertão e sua família precisam caminhar quilômetros em busca da água dos açudes. A irregularidade climática é um dos fatores que mais interferem na vida do sertanejo.Disponível em: http://www.wwf.org.br. Acesso em: 23 abr. 2010.Segundo este levantamento, a densidade demográfica da região coberta pela caatinga, em habitantes por km², é de:","a) 250.b) 25.c) 2,5.d) 0,25.e) 0,025.",B,verde
21,2011,162,"O número mensal de passagens de uma determinada empresa aérea aumentou no ano passado nas seguintes condições: em janeiro foram vendidas 33 000 passagens; em fevereiro, 34 500; em março, 36 000. Esse padrão de crescimento se mantém para os meses subsequentes.Quantas passagens foram vendidas por essa empresa em julho do ano passado?",a) 38 000b) 40 500c) 41 000d) 42 000e) 48 000,D,verde
22,2011,164,"Muitas medidas podem ser tomadas em nossas casas visando à utilização racional de energia elétrica. Isso deve ser uma atitude diária de cidadania. Uma delas pode ser a redução do tempo no banho. Um chuveiro com potência de 4800 W consome 4,8 kW por hora.Uma pessoa que toma dois banhos diariamente, de 10 minutos cada, consumirá, em sete dias, quantos kW?","a) 0,8b) 1,6c) 5,6d) 11,2e) 33,6",D,verde
23,2011,166,"Nos últimos cinco anos, 32 mil mulheres de 20 a 24 anos foram internadas nos hospitais do SUS por causa de AVC. Entre os homens da mesma faixa etária, houve 28 mil internações pelo mesmo motivo.Época. 26 abr. 2010 (adaptado).Suponha que, nos próximos cinco anos, haja um acréscimo de 8 mil internações de mulheres e que o acréscimo de internações de homens por AVC ocorra na mesma proporção.De acordo com as informações dadas, o número de homens que seriam internados por AVC, nos próximos cinco anos, corresponderia a",a) 4 mil.b) 9 mil.c) 21 mil.d) 35 mil.e) 39 mil.,D,verde
24,2011,167,"É possível usar água ou comida para atrair as aves e observá-las. Muitas pessoas costumam usar água com açúcar, por exemplo, para atrair beija-flores. Mas é importante saber que, na hora de fazer a mistura, você deve sempre usar uma parte de açúcar para cinco partes de água. Além disso, em dias quentes, precisa trocar a água de duas a três vezes, pois com o calor ela pode fermentar e, se for ingerida pela ave, pode deixá-la doente. O excesso de açúcar, ao cristalizar, também pode manter o bico da ave fechado, impedindo-a de se alimentar. Isso pode até matá-la.Ciência Hoje das Crianças. FNDE; Instituto Ciência Hoje, n. 166, mar 1996.Pretende-se encher completamente um copo com a mistura para atrair beija-flores. O copo tem formato cilíndrico, e suas medidas são 10 cm de altura e 4 cm de diâmetro. A quantidade de água que deve ser utilizada na mistura é cerca de (utilize) pi = 3.",a) 20 mL.b) 24 mL.c) 100 mL.d) 120 mL.e) 600 mL.,C,verde
25,2011,168,"Em um jogo disputado em uma mesa de sinuca, há 16 bolas: 1 branca e 15 coloridas, as quais, de acordo com a coloração, valem de 1 a 15 pontos (um valor para cada bola colorida).O jogador acerta o taco na bola branca de forma que esta acerte as outras, com o objetivo de acertar duas das quinze bolas em quaisquer caçapas. Os valores dessas duas bolas são somados e devem resultar em um valor escolhido pelo jogador antes do início da jogada.Arthur, Bernardo e Caio escolhem os números 12, 17 e 22 como sendo resultados de suas respectivas somas. Com essa escolha, quem tem a maior probabilidade de ganhar o jogo é","a) Arthur, pois a soma que escolheu é a menor.b) Bernardo, pois há 7 possibilidades de compor a soma escolhida por ele, contra 4 possibilidades para a escolha de Arthur e 4 possibilidades para a escolha de Caio.c) Bernardo, pois há 7 possibilidades de compor a soma escolhida por ele, contra 5 possibilidades para a escolha de Arthur e 4 possibilidades para a escolha de Caio.d) Caio, pois há 10 possibilidades de compor a soma escolhida por ele, contra 5 possibilidades para a escolha de Arthur e 8 possibilidades para a escolha de Bernardo.e) Caio, pois a soma que escolheu é a maior.",C,verde
26,2011,174,"O setor de recursos humanos de uma empresa vai realizar uma entrevista com 120 candidatos a uma vaga de contador. Por sorteio, eles pretendem atribuir a cada candidato um número, colocar a lista de números em ordem numérica crescente e usá-la para convocar os interessados. Acontece que, por um defeito do computador, foram gerados números com 5 algarismos distintos e, em nenhum deles, apareceram dígitos pares.Em razão disso, a ordem de chamada do candidato que tiver recebido o número 75.913 é",a) 24.b) 31.c) 32.d) 88.e) 89.,E,verde
27,2011,180,"Uma indústria fabrica um único tipo de produto e sempre vende tudo o que produz. O custo total para fabricar uma quantidade $q$ de produtos é dado por uma função, simbolizada por $CT$, enquanto o faturamento que a empresa obtém com a venda da quantidade $q$ também é uma função, simbolizada por $FT$. O lucro total ($LT$) obtido pela venda da quantidade $q$ de produtos é dado pela expressão $LT(q) = FT(q) - CT(q)$. Considerando-se as funções $FT(q) = 5q$ e $CT(q) = 2q + 12$ como faturamento e custo, qual a quantidade mínima de produtos que a indústria terá de fabricar para não ter prejuízo?",a) 0b) 1c) 3d) 4e) 5,D,verde
28,2012,138,"José, Carlos e Paulo devem transportar em suas bicicletas uma certa quantidade de laranjas. Decidiram dividir o trajeto a ser percorrido em duas partes, sendo que ao final da primeira parte eles redistribuiriam a quantidade de laranjas que cada um carregava dependendo do cansaço de cada um. Na primeira parte do trajeto, José, Carlos e Paulo dividiram as laranjas na proporção 6 : 5 : 4, respectivamente. Na segunda parte do trajeto, José, Carlos e Paulo dividiram as laranjas na proporção 4 : 4 : 2, respectivamente.Sabendo-se que um deles levou 50 laranjas a mais no segundo trajeto, qual a quantidade de laranjas que José, Carlos e Paulo, nessa ordem, transportaram na segunda parte do trajeto?","a) 600, 550, 350b) 300, 300, 150c) 300, 250, 200d) 200, 200, 100e) 100, 100, 50",B,verde
29,2012,140,"Arthur deseja comprar um terreno de Cléber, que lhe oferece as seguintes possibilidades de pagamento:- Opção 1: Pagar à vista, por R$ 55.000,00;- Opção 2: Pagar a prazo, dando uma entrada de R$ 30.000,00 e, mais uma prestação de R$ 26.000,00 para dali a 6 meses;- Opção 3: Pagar a prazo, dando uma entrada de R$ 20.000,00, mais uma prestação de R$ 20.000,00, para dali a 6 meses e outra de R$ 18.000,00 para dali a 12 meses da data da compra;- Opção 4: Pagar a prazo dando uma entrada de R$ 15.000,00 e o restante em 1 ano da data da compra, pagando R$ 39.000,00;- Opção 5: Pagar a prazo, dali a um ano, o valor de R$ 60.000,00.Arthur tem o dinheiro para pagar à vista, mas avalia se não seria melhor aplicar o dinheiro do valor à vista (ou até um valor menor) em um investimento, com rentabilidade de 10% ao semestre, resgatando os valores à medida que as prestações da opção escolhida fossem vencendo.Após avaliar a situação do ponto de vista financeiro e das condições apresentadas, Arthur concluiu que era mais vantajoso financeiramente escolher a opção:",a) 1b) 2c) 3d) 4e) 5,D,verde
30,2012,142,"A capacidade mínima, em BTU/h, de um aparelho de ar-condicionado, para ambientes sem exposição ao sol, pode ser determinada da seguinte forma:• 600 BTU/h por m², considerando-se ate duas pessoas no ambiente;• para cada pessoa adicional nesse ambiente, acrescentar 600 BTU/h;• acrescentar mais 600 BTU/h para cada equipamento eletrônico em funcionamento no ambiente.Será instalado um aparelho de ar-condicionado em uma sala sem exposição ao sol, de dimensões 4 m x 5 m, em que permaneçam quatro pessoas e possua um aparelho de televisão em funcionamento.A capacidade mínima, em BTU/h, desse aparelho de ar-condicionado deve ser",a) 12.000.b) 12.600.c) 13.200.d) 13.800.e) 15.000.,D,verde
31,2012,138,"José, Carlos e Paulo devem transportar em suas bicicletas uma certa quantidade de laranjas. Decidiram dividir o trajeto a ser percorrido em duas partes, sendo que ao final da primeira parte eles redistribuiriam a quantidade de laranjas que cada um carregava dependendo do cansaço de cada um. Na primeira parte do trajeto, José, Carlos e Paulo dividiram as laranjas na proporção 6 : 5 : 4, respectivamente. Na segunda parte do trajeto, José, Carlos e Paulo dividiram as laranjas na proporção 4 : 4 : 2, respectivamente.Sabendo-se que um deles levou 50 laranjas a mais no segundo trajeto, qual a quantidade de laranjas que José, Carlos e Paulo, nessa ordem, transportaram na segunda parte do trajeto?","a) 600, 550, 350b) 300, 300, 150c) 300, 250, 200d) 200, 200, 100e) 100, 100, 50",B,verde
32,2012,140,"Arthur deseja comprar um terreno de Cléber, que lhe oferece as seguintes possibilidades de pagamento:- Opção 1: Pagar à vista, por R$ 55.000,00;- Opção 2: Pagar a prazo, dando uma entrada de R$ 30.000,00 e, mais uma prestação de R$ 26.000,00 para dali a 6 meses;- Opção 3: Pagar a prazo, dando uma entrada de R$ 20.000,00, mais uma prestação de R$ 20.000,00, para dali a 6 meses e outra de R$ 18.000,00 para dali a 12 meses da data da compra;- Opção 4: Pagar a prazo dando uma entrada de R$ 15.000,00 e o restante em 1 ano da data da compra, pagando R$ 39.000,00;- Opção 5: Pagar a prazo, dali a um ano, o valor de R$ 60.000,00.Arthur tem o dinheiro para pagar à vista, mas avalia se não seria melhor aplicar o dinheiro do valor à vista (ou até um valor menor) em um investimento, com rentabilidade de 10% ao semestre, resgatando os valores à medida que as prestações da opção escolhida fossem vencendo.Após avaliar a situação do ponto de vista financeiro e das condições apresentadas, Arthur concluiu que era mais vantajoso financeiramente escolher a opção:",a) 1b) 2c) 3d) 4e) 5,D,verde
33,2012,142,"A capacidade mínima, em BTU/h, de um aparelho de ar-condicionado, para ambientes sem exposição ao sol, pode ser determinada da seguinte forma:• 600 BTU/h por m2, considerando-se ate duas pessoas no ambiente;• para cada pessoa adicional nesse ambiente, acrescentar 600 BTU/h;• acrescentar mais 600 BTU/h para cada equipamento eletrônico em funcionamento no ambiente.Será instalado um aparelho de ar-condicionado em uma sala sem exposição ao sol, de dimensões 4 m x 5 m, em que permaneçam quatro pessoas e possua um aparelho de televisão em funcionamento.A capacidade mínima, em BTU/h, desse aparelho de ar-condicionado deve ser",a) 12.000.b) 12.600.c) 13.200.d) 13.800.e) 15.000.,D,verde
34,2012,144,"O diretor de uma escola convidou os 280 alunos de terceiro ano a participarem de uma brincadeira. Suponha que existem 5 objetos e 6 personagens numa casa de 9 cômodos; um dos personagens esconde um dos objetos em um dos cômodos da casa. O objetivo da brincadeira é adivinhar qual objeto foi escondido por qual personagem e em qual cômodo da casa o objeto foi escondido.Todos os alunos decidiram participar. A cada vez um aluno é sorteado e dá a sua resposta. As respostas devem ser sempre distintas das anteriores, e um mesmo aluno não pode ser sorteado mais de uma vez. Se a resposta do aluno estiver correta, ele é declarado vencedor e a brincadeira é encerrada.O diretor sabe que algum aluno acertará a resposta porque há",a) 10 alunos a mais do que possíveis respostas distintas.b) 20 alunos a mais do que possíveis respostas distintas.c) 119 alunos a mais do que possíveis respostas distintas.d) 260 alunos a mais do que possíveis respostas distintas.e) 270 alunos a mais do que possíveis respostas distintas.,A,verde
35,2012,150,"Jogar baralho é uma atividade que estimula o raciocínio. Um jogo tradicional é a Paciência, que utiliza 52 cartas. Inicialmente são formadas sete colunas com as cartas. A primeira coluna tem uma carta, a segunda tem duas cartas, a terceira tem três cartas, a quarta tem quatro cartas, e assim sucessivamente até a sétima coluna, a qual tem sete cartas, e o que sobra forma o monte, que são as cartas não utilizadas nas colunas.A quantidade de cartas que forma o monte é",a) 21.b) 24.c) 26.d) 28.e) 31.,B,verde
36,2012,152,"Em exposições de artes plásticas, é usual que estátuas sejam expostas sobre plataformas giratórias. Uma medida de segurança é que a base da escultura esteja integralmente apoiada sobre a plataforma. Para que se providencie o equipamento adequado, no caso de uma base quadrada que será fixada sobre uma plataforma circular, o auxiliar técnico do evento deve estimar a medida R do raio adequado para a plataforma em termos da medida L do lado da base da estatua.Qual relação entre R e L o auxiliar técnico deverá apresentar de modo que a exigência de segurança seja cumprida?",A) R >= L/√2B) R >= 2L/πC) R >= L/√πD) R >= L/2E) R >= L/(2√2),A,verde
37,2012,157,"Um maquinista de trem ganha R$ 100,00 por viagem e só pode viajar a cada 4 dias. Ele ganha somente se fizer a viagem e sabe que estará de férias de 1º a 10 de junho, quando não poderá viajar. Sua primeira viagem ocorreu no dia primeiro de janeiro. Considere que o ano tem 365 dias.Se o maquinista quiser ganhar o máximo possível, quantas viagens precisará fazer?",a) 37b) 51c) 88d) 89e) 91,C,verde
38,2012,161,"João decidiu contratar os serviços de uma empresa por telefone através do SAC (Serviço de Atendimento ao Consumidor). O atendente ditou para João o número de protocolo de atendimento da ligação e pediu que ele anotasse. Entretanto, João não entendeu um dos algarismos ditados pelo atendente e anotou o número $13\_98207$, sendo que o espaço vazio é o do algarismo que João não entendeu.De acordo com essas informações, a posição ocupada pelo algarismo que falta no número de protocolo é a de:",a) centena.b) dezena de milhar.c) centena de milhar.d) milhão.e) centena de milhão.,C,verde
39,2012,164,"Uma mãe recorreu à bula para verificar a dosagem de um remédio que precisava dar a seu filho. Na bula, recomendava-se a seguinte dosagem: 5 gotas para cada 2 kg de massa corporal a cada 8 horas.Se a mãe ministrou corretamente 30 gotas do remédio a seu filho a cada 8 horas, então a massa corporal dele é de",a) 12 kg.b) 16 kg.c) 24 kg.d) 36 kg.e) 75 kg.,A,verde
40,2012,166,"As curvas de oferta e de demanda de um produto representam, respectivamente, as quantidades que vendedores e consumidores estão dispostos a comercializar em função do preço do produto. Em alguns casos, essas curvas podem ser representadas por retas. Suponha que as quantidades de oferta e de demanda de um produto sejam, respectivamente, representadas pelas equações:QO= –20 + 4PQD= 46 – 2Pem que QOé quantidade de oferta, QDé a quantidade de demanda e P é o preço do produto.A partir dessas equações, de oferta e de demanda, os economistas encontram o preço de equilíbrio de mercado, ou seja, quando QOe QDse igualam.Para a situação descrita, qual o valor do preço de equilíbrio?",a) 5b) 11c) 13d) 23e) 33,B,verde
